study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	tax_id	scientific_name	instrument_model	library_layout	fastq_ftp	fastq_galaxy	submitted_ftp	submitted_galaxy	sra_ftp	sra_galaxy	cram_index_ftp	cram_index_galaxy
PRJEB2827	SAMEA1466133	ERS085440	ERX100845	ERR124663	562	Escherichia coli	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR124/ERR124663/ERR124663_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR124/ERR124663/ERR124663_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR124/ERR124663/ERR124663_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR124/ERR124663/ERR124663_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR124/ERR124663/7553_7#71.bam	ftp.sra.ebi.ac.uk/vol1/run/ERR124/ERR124663/7553_7#71.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR124/ERR124663	ftp.sra.ebi.ac.uk/vol1/err/ERR124/ERR124663		
PRJEB2827	SAMEA1466167	ERS085441	ERX100846	ERR124664	562	Escherichia coli	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR124/ERR124664/ERR124664_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR124/ERR124664/ERR124664_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR124/ERR124664/ERR124664_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR124/ERR124664/ERR124664_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR124/ERR124664/7553_7#72.bam	ftp.sra.ebi.ac.uk/vol1/run/ERR124/ERR124664/7553_7#72.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR124/ERR124664	ftp.sra.ebi.ac.uk/vol1/err/ERR124/ERR124664		
PRJEB2827	SAMEA1466134	ERS085334	ERX110531	ERR134513	562	Escherichia coli	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134513/ERR134513_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134513/ERR134513_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134513/ERR134513_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134513/ERR134513_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR134513/7748_7#1.bam	ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR134513/7748_7#1.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR134/ERR134513	ftp.sra.ebi.ac.uk/vol1/err/ERR134/ERR134513		
PRJEB2827	SAMEA1466122	ERS085335	ERX110532	ERR134514	562	Escherichia coli	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134514/ERR134514_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134514/ERR134514_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134514/ERR134514_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134514/ERR134514_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR134514/7748_7#2.bam	ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR134514/7748_7#2.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR134/ERR134514	ftp.sra.ebi.ac.uk/vol1/err/ERR134/ERR134514		
PRJEB2827	SAMEA1466098	ERS085336	ERX110533	ERR134515	562	Escherichia coli	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134515/ERR134515_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134515/ERR134515_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134515/ERR134515_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134515/ERR134515_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR134515/7748_7#3.bam	ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR134515/7748_7#3.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR134/ERR134515	ftp.sra.ebi.ac.uk/vol1/err/ERR134/ERR134515		
PRJEB2827	SAMEA1466196	ERS085337	ERX110534	ERR134516	562	Escherichia coli	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134516/ERR134516_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134516/ERR134516_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134516/ERR134516_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134516/ERR134516_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR134516/7748_7#4.bam	ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR134516/7748_7#4.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR134/ERR134516	ftp.sra.ebi.ac.uk/vol1/err/ERR134/ERR134516		
PRJEB2827	SAMEA1466185	ERS085338	ERX110535	ERR134517	562	Escherichia coli	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134517/ERR134517_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134517/ERR134517_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134517/ERR134517_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134517/ERR134517_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR134517/7748_7#5.bam	ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR134517/7748_7#5.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR134/ERR134517	ftp.sra.ebi.ac.uk/vol1/err/ERR134/ERR134517		
PRJEB2827	SAMEA1466179	ERS085339	ERX110536	ERR134518	562	Escherichia coli	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134518/ERR134518_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134518/ERR134518_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134518/ERR134518_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134518/ERR134518_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR134518/7748_7#6.bam	ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR134518/7748_7#6.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR134/ERR134518	ftp.sra.ebi.ac.uk/vol1/err/ERR134/ERR134518		
PRJEB2827	SAMEA1466154	ERS085340	ERX110537	ERR134519	562	Escherichia coli	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134519/ERR134519_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134519/ERR134519_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134519/ERR134519_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134519/ERR134519_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR134519/7748_7#7.bam	ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR134519/7748_7#7.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR134/ERR134519	ftp.sra.ebi.ac.uk/vol1/err/ERR134/ERR134519		
PRJEB2827	SAMEA1466168	ERS085341	ERX110538	ERR134520	562	Escherichia coli	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134520/ERR134520_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134520/ERR134520_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134520/ERR134520_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134520/ERR134520_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR134520/7748_7#8.bam	ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR134520/7748_7#8.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR134/ERR134520	ftp.sra.ebi.ac.uk/vol1/err/ERR134/ERR134520		
PRJEB2827	SAMEA1466178	ERS085342	ERX110539	ERR134521	562	Escherichia coli	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134521/ERR134521_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134521/ERR134521_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134521/ERR134521_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134521/ERR134521_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR134521/7748_7#9.bam	ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR134521/7748_7#9.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR134/ERR134521	ftp.sra.ebi.ac.uk/vol1/err/ERR134/ERR134521		
PRJEB2827	SAMEA1466189	ERS085343	ERX110540	ERR134522	562	Escherichia coli	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134522/ERR134522_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134522/ERR134522_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134522/ERR134522_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134522/ERR134522_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR134522/7748_7#10.bam	ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR134522/7748_7#10.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR134/ERR134522	ftp.sra.ebi.ac.uk/vol1/err/ERR134/ERR134522		
PRJEB2827	SAMEA1466203	ERS085344	ERX110541	ERR134523	562	Escherichia coli	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134523/ERR134523_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134523/ERR134523_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134523/ERR134523_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134523/ERR134523_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR134523/7748_7#11.bam	ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR134523/7748_7#11.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR134/ERR134523	ftp.sra.ebi.ac.uk/vol1/err/ERR134/ERR134523		
PRJEB2827	SAMEA1466111	ERS085345	ERX110542	ERR134524	562	Escherichia coli	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134524/ERR134524_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134524/ERR134524_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134524/ERR134524_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134524/ERR134524_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR134524/7748_7#12.bam	ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR134524/7748_7#12.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR134/ERR134524	ftp.sra.ebi.ac.uk/vol1/err/ERR134/ERR134524		
PRJEB2827	SAMEA1466102	ERS085346	ERX110543	ERR134525	562	Escherichia coli	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134525/ERR134525_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134525/ERR134525_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134525/ERR134525_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134525/ERR134525_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR134525/7748_7#13.bam	ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR134525/7748_7#13.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR134/ERR134525	ftp.sra.ebi.ac.uk/vol1/err/ERR134/ERR134525		
PRJEB2827	SAMEA1466143	ERS085347	ERX110544	ERR134526	562	Escherichia coli	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134526/ERR134526_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134526/ERR134526_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134526/ERR134526_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134526/ERR134526_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR134526/7748_7#14.bam	ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR134526/7748_7#14.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR134/ERR134526	ftp.sra.ebi.ac.uk/vol1/err/ERR134/ERR134526		
PRJEB2827	SAMEA1466137	ERS085348	ERX110545	ERR134527	562	Escherichia coli	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134527/ERR134527_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134527/ERR134527_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134527/ERR134527_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134527/ERR134527_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR134527/7748_7#15.bam	ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR134527/7748_7#15.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR134/ERR134527	ftp.sra.ebi.ac.uk/vol1/err/ERR134/ERR134527		
PRJEB2827	SAMEA1466171	ERS085349	ERX110546	ERR134528	562	Escherichia coli	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134528/ERR134528_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134528/ERR134528_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134528/ERR134528_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134528/ERR134528_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR134528/7748_7#16.bam	ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR134528/7748_7#16.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR134/ERR134528	ftp.sra.ebi.ac.uk/vol1/err/ERR134/ERR134528		
PRJEB2827	SAMEA1466152	ERS085350	ERX110547	ERR134529	562	Escherichia coli	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134529/ERR134529_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134529/ERR134529_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134529/ERR134529_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134529/ERR134529_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR134529/7748_7#17.bam	ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR134529/7748_7#17.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR134/ERR134529	ftp.sra.ebi.ac.uk/vol1/err/ERR134/ERR134529		
PRJEB2827	SAMEA1466170	ERS085351	ERX110548	ERR134530	562	Escherichia coli	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134530/ERR134530_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134530/ERR134530_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134530/ERR134530_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134530/ERR134530_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR134530/7748_7#18.bam	ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR134530/7748_7#18.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR134/ERR134530	ftp.sra.ebi.ac.uk/vol1/err/ERR134/ERR134530		
PRJEB2827	SAMEA1466130	ERS085352	ERX110549	ERR134531	562	Escherichia coli	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134531/ERR134531_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134531/ERR134531_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134531/ERR134531_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134531/ERR134531_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR134531/7748_7#19.bam	ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR134531/7748_7#19.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR134/ERR134531	ftp.sra.ebi.ac.uk/vol1/err/ERR134/ERR134531		
PRJEB2827	SAMEA1466140	ERS085353	ERX110550	ERR134532	562	Escherichia coli	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134532/ERR134532_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134532/ERR134532_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134532/ERR134532_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/ERR134532/ERR134532_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR134532/7748_7#20.bam	ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR134532/7748_7#20.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR134/ERR134532	ftp.sra.ebi.ac.uk/vol1/err/ERR134/ERR134532		
